id,year,initial_power_capacity,initial_energy_capacity,duration,capex_p,capex_e,fom,vom,lifetime,charge_efficiency,discharge_efficiency,max_build_p,max_build_e,min_build_p,min_build_e
0,all,0,0,48,3382,0,0,0,40,0.8,1,50,0,0,0
1,all,0,0,48,3382,0,0,0,40,0.8,1,50,0,0,0
2,all,0,0,48,3382,0,0,0,40,0.8,1,50,0,0,0
3,all,0,0,48,3382,0,0,0,40,0.8,1,50,0,0,0
4,all,0,0,48,3382,0,0,0,40,0.8,1,50,0,0,0
5,all,0,0,4,1692,0,0,0,20,0.9,1,50,0,0,0
6,all,0,0,4,1692,0,0,0,20,0.9,1,50,0,0,0
7,all,0,0,4,1692,0,0,0,20,0.9,1,50,0,0,0
8,all,0,0,4,1692,0,0,0,20,0.9,1,50,0,0,0
9,all,0,0,4,1692,0,0,0,20,0.9,1,50,0,0,0
